ESTADO;CIDADE;NR_CANDIDATO;CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO;GENERO;GRAU_INSTRUCAO;COR_RACA
MG;CÓRREGO DANTA;70;PREFEITO;EDNEI MARTINS DE MATOS;EDNEI;AVANTE;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
SP;TREMEMBÉ;25007;VEREADOR;ANA ALICE TEODORO;ANA TEODORO;PRD;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;NÃO INFORMADO
AM;URUCURITUBA;23789;VEREADOR;LUCIANA BARBOSA DE SOUZA CRISTO;LUCIANA SOUZA;CIDADANIA;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
SP;SÃO PAULO;55001;VEREADOR;PAULO SUSSUMU KOBAYASHI;EMBAIXADOR PAULO KOBAYASHI;PSD;MASCULINO;SUPERIOR COMPLETO;AMARELA
MG;ASTOLFO DUTRA;22022;VEREADOR;VANIR GONÇALVESDE OLIVEIRA;VAIR DO LIBÓRIO;PL;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
MG;SANTA LUZIA;40540;VEREADOR;LUZIANA ROCHA ASSIS;LUZIANA;PSB;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
SC;ARAQUARI;25222;VEREADOR;JAQUELINE APARECIDA DE RAMOS;JAQUE DO ARAQUARI NEWS;PRD;FEMININO;ENSINO MÉDIO INCOMPLETO;BRANCA
CE;MARACANAÚ;33580;VEREADOR;ABÍAS FLORENCIO BEZERRA;ABÍAS BEZERRA;MOBILIZA;MASCULINO;ENSINO MÉDIO COMPLETO;INDÍGENA
MA;PENALVA;15007;VEREADOR;ABISAI DE OLIVEIRA SOUSA;ABISAI;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SP;IRACEMÁPOLIS;55;VICE-PREFEITO;DENISE CALICE MARTIN;DENISE CALICE;PSD;FEMININO;SUPERIOR COMPLETO;BRANCA
GO;DAVINÓPOLIS;20;PREFEITO;VANUSA APARECIDA BENTO GOMES;VANUSA;PODE;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
MG;CORDISLÂNDIA;10000;VEREADOR;ÂNGELO AUGUSTO FELIZARDO TAVARES;GUTO DA ROSINHA;REPUBLICANOS;MASCULINO;SUPERIOR COMPLETO;BRANCA
SP;CRUZEIRO;22;PREFEITO;JOSE KLEBER LIMA SILVEIRA JUNIOR;KLEBER SILVEIRA;PL;MASCULINO;SUPERIOR COMPLETO;BRANCA
RJ;RIO DAS FLORES;27123;VEREADOR;BRENO FRANÇA DA ROCHA;BRENO FRANÇA;DC;MASCULINO;SUPERIOR COMPLETO;BRANCA
AM;AMATURÁ;45369;VEREADOR;LACIEL ANDRADE GONÇALVES;LACIEL ANDRADE;PSDB;MASCULINO;ENSINO MÉDIO COMPLETO;INDÍGENA
SP;SÃO VICENTE;12212;VEREADOR;CLÁUDIA ANGÉLICA ROCHA;CLAUDIA ROCHA;PDT;FEMININO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
TO;ALMAS;11011;VEREADOR;GABRIEL QUINTANILHA DE CERQUEIRA LOPES;GABRIEL LOPES;PP;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
MG;ITABIRA;18888;VEREADOR;RICARDO DE FREITAS ROSA;RICARDO FREITAS;REDE;MASCULINO;SUPERIOR COMPLETO;PARDA
SC;ALTO BELA VISTA;22442;VEREADOR;CASSIANO MARTINAZZO;CASSIANO MARTINAZZO;PL;MASCULINO;SUPERIOR COMPLETO;BRANCA
SP;RIBEIRÃO CORRENTE;44630;VEREADOR;CLAUDIO RODRÍGUES NEVES;PILOTO;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
SE;SÃO MIGUEL DO ALEIXO;23000;VEREADOR;JOSÉ VALDEIRTON DAS GRAÇAS;VAL DE AIRTON;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;PARDA
SE;SÃO DOMINGOS;11555;VEREADOR;KELI CRISTINA SANTOS FONSECA;KELI DE MANOEL;PP;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
MG;ARAPONGA;23123;VEREADOR;ELTON RODRIGUES LIMA;ELTON DE TAQUINHA;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;PARDA
PE;BOM CONSELHO;11111;VEREADOR;ANDERSON ALAN GOMES VANDERLEY;ALANZINHO DA BARRA;PP;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
MG;CAIANA;15000;VEREADOR;FERNANDA VERONICA MENDONÇA DA SILVA;FERNANDA DO SAMPAIO;MDB;FEMININO;ENSINO MÉDIO INCOMPLETO;BRANCA
SP;MONGAGUÁ;30123;VEREADOR;CARLOS EDUARDO HUBNER DE OLIVEIRA;BUBBY;NOVO;MASCULINO;SUPERIOR COMPLETO;BRANCA
RO;CACOAL;22224;VEREADOR;LÍDIA MARIA DA SILVA;LÍDIA MARIA;PL;FEMININO;SUPERIOR COMPLETO;PARDA
MT;LAMBARI D'OESTE;10777;VEREADOR;FABIO DOS SANTOS MIRANDA;FABIO DO MASTER;REPUBLICANOS;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
BA;CONCEIÇÃO DO JACUÍPE;70666;VEREADOR;ELISANGELA RODRIGUES DOS SANTOS;LIU DO POVO;AVANTE;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
MG;PIEDADE DE PONTE NOVA;45555;VEREADOR;LEONARDO GUILHERME;LEO CARTEIRO;PSDB;MASCULINO;SUPERIOR COMPLETO;PARDA
ES;COLATINA;20333;VEREADOR;ANTONIO CARLOS DE SOUZA;ANTÔNIO GUARÁ;PODE;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
SC;VIDEIRA;11022;VEREADOR;RICARDO BERNARDI;KOCA;PP;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
TO;BARROLÂNDIA;43333;VEREADOR;NUBIA MARIA CAVALCANTE DA SILVA;NÚBIA CAVALCANTE;PV;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
PA;ORIXIMINÁ;44789;VEREADOR;MAISE GUIMARÃES SOUZA;MAISE GUIMARÃES;UNIÃO;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
TO;FIGUEIRÓPOLIS;65222;VEREADOR;MARIA ELZA RIBEIRO DE MATOS;ELZINHA;PC do B;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
SP;BIRITIBA MIRIM;55888;VEREADOR;TATIANE SILVA DE LARA;TATI DO ZÉ BAIANO;PSD;FEMININO;LÊ E ESCREVE;PARDA
RS;CHARQUEADAS;45777;VEREADOR;SUZANE LINDNER LARA;SUZANE LINDNER LARA;PSDB;FEMININO;SUPERIOR COMPLETO;BRANCA
PR;MARIALVA;27200;VEREADOR;ADRIANO DE ALCANTARA;ADRIANO DE ALCÂNTARA;DC;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
MS;BELA VISTA;11244;VEREADOR;BRAZ ARIEL RUIZ DIAZ VERON;BRAZ RUIZ;PP;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SC;RIO NEGRINHO;15555;VEREADOR;CELIO ROBERTO ALVES;CELIO ALVES;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
SC;ITAJAÍ;20610;VEREADOR;RUBENS CAMILO PACHECO;RUBENS PACHECO;PODE;MASCULINO;SUPERIOR INCOMPLETO;BRANCA
MG;TAIOBEIRAS;45614;VEREADOR;SILVANO FERREIRA;SILVANO DA LAGOA;PSDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
PR;RONCADOR;11222;VEREADOR;RENATO SLOBOJA;RENATO SLOBOJA;PP;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
MA;MATINHA;44123;VEREADOR;LOURIVAL CUTRIM GOMES;LORINHO  DE ITANS;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
SC;ANITA GARIBALDI;45333;VEREADOR;GABRIELA RAFFO DA SILVA;GABRIELA RAFFO;PSDB;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
PR;PIÊN;33456;VEREADOR;KELVIN LUAN DE BASTOS;KELVINHO;MOBILIZA;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
SP;ITANHAÉM;28087;VEREADOR;JOSENILTON GONZAGA DOS SANTOS;NILTON GONZAGA;PRTB;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
MG;IBIÁ;15000;VEREADOR;RONDOMAR DOS REIS;VEREADOR RONDOMAR;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
MG;SENADOR MODESTINO GONÇALVES;70777;VEREADOR;LÚCIA APARECIDA SANTOS;LÚCIA DA SAÚDE;AVANTE;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
RS;GUAPORÉ;25022;VEREADOR;ADIR CARLESSO;CARLESSO;PRD;MASCULINO;SUPERIOR COMPLETO;BRANCA
PR;BOCAIÚVA DO SUL;55200;VEREADOR;CLAUDINEI RODRIGUES DE CASTRO;FAISKA;PSD;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
MA;SÃO JOÃO BATISTA;15789;VEREADOR;ROSYELLY BASTOS FERREIRA;PIÁ;MDB;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
MG;LUMINÁRIAS;44555;VEREADOR;ODAIR JOSÉ CORREA;ODAIR DA PADARIA;UNIÃO;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
SP;ORINDIÚVA;11333;VEREADOR;MARIA HELENA GONÇALVES BARBOSA BORGES;MARIA HELENA GONÇALVES;PP;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
BA;MUTUÍPE;45111;VEREADOR;VALMIR FREITAS DOS SANTOS;BUZU DO DOMINÓ;PSDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
SP;LENÇÓIS PAULISTA;11789;VEREADOR;VALDIVINO MIGUEL BARBOSA;VALDEVINO MIGUEL;PP;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
BA;TAPIRAMUTÁ;45555;VEREADOR;DAIANE LIMA DOS SANTOS TOURINHO;DAIANE DE DR MÁRIO;PSDB;FEMININO;SUPERIOR COMPLETO;PRETA
RN;RIACHUELO;55123;VEREADOR;GRACILIANO BELCHIOR DE MEDEIROS;GRACILIANO BELCHIOR;PSD;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
MG;BETIM;11999;VEREADOR;MARTA DO CARMO SOARES;PASTORA MARTA;PP;FEMININO;SUPERIOR COMPLETO;PARDA
MG;ITAJUBÁ;55100;VEREADOR;MARIA INES DOS SANTOS;INÊS DO XODOZINHO ;PSD;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
MG;CONCEIÇÃO DO MATO DENTRO;11789;VEREADOR;WANDER ROSA DE SANTANA;WANDER DO LAIN;PP;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
MG;DESCOBERTO;33555;VEREADOR;PAULO ROBERTO BARBOZA;PAULO BARBOZA;MOBILIZA;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
SP;LOUVEIRA;55000;VEREADOR;CLAUDENILDO GOMES DA CRUZ;NILDO REDENÇÃO;PSD;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SP;RIO CLARO;11123;VEREADOR;ADRIANO LA TORRE;ADRIANO LA TORRE;PP;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
MA;SÃO LUÍS;45021;VEREADOR;GEOVANA MORENO FONSECA;GEOVANA MORENO;PSDB;FEMININO;SUPERIOR COMPLETO;BRANCA
GO;MORRINHOS;30999;VEREADOR;ENALDO AMERICO DO CARMO;ENALDO CORRÔ;NOVO;MASCULINO;LÊ E ESCREVE;BRANCA
SP;SÃO JOAQUIM DA BARRA;23023;VEREADOR;EURIPEDES BARCENULFO RISSATTO;ORIPINHO DO AUTO ESCOLA;CIDADANIA;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
RS;POUSO NOVO;20666;VEREADOR;CARLOS ALBERTO POZZEBON;CARLINHOS;PODE;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
MG;ITACARAMBI;10456;VEREADOR;GERALDO ANTONIO RAMOS PEREIRA;CHAN MECANICO;REPUBLICANOS;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
BA;SEBASTIÃO LARANJEIRAS;40111;VEREADOR;ANÍSIO SOUZA BRITO NETO;FERREIRINHA;PSB;MASCULINO;SUPERIOR COMPLETO;BRANCA
MT;SÃO JOSÉ DO RIO CLARO;30678;VEREADOR;MARIA EDUARDA SANTANA DE ASSIS;DUDA ASSIS;NOVO;FEMININO;SUPERIOR INCOMPLETO;PARDA
SP;TANABI;44444;VEREADOR;CAIO HENRIQUE GARRUTI TORATTI;CAIO GARRUTI;UNIÃO;MASCULINO;SUPERIOR COMPLETO;BRANCA
BA;SÃO SEBASTIÃO DO PASSÉ;11123;VEREADOR;SERGIO SACRAMENTO DOS SANTOS;SERGIO SACRAMENTO;PP;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SP;MONTEIRO LOBATO;25321;VEREADOR;MAYARA DE OLIVEIRA PINTO;MAYARA OLIVEIRA;PRD;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
SP;SÃO BERNARDO DO CAMPO;77454;VEREADOR;NEUSA RODRIGUES SILVA;NEUSA RODRIGUES;SOLIDARIEDADE;FEMININO;ENSINO FUNDAMENTAL COMPLETO;PARDA
SP;ENGENHEIRO COELHO;15515;VEREADOR;JARDEL COUY CAIRES;JARDEL CAIRES;MDB;MASCULINO;SUPERIOR COMPLETO;BRANCA
PA;OURILÂNDIA DO NORTE;11000;VEREADOR;SILVANA MARIA SOUZA DUARTE;SILVANA DO PA MARIA PRETA;PP;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
AM;MANAUS;23;VICE-PREFEITO;NANCY CASTRO SEGADILHA;NANCY SEGADILHA;CIDADANIA;FEMININO;SUPERIOR COMPLETO;BRANCA
MG;VAZANTE;11222;VEREADOR;CLENIO CORREA DE ANDRADE;CLÊNIO CORREA;PP;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SP;MAUÁ;22251;VEREADOR;GIVANALDO MOTA SILVA;NADO ORONET;PL;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
SP;CARDOSO;25123;VEREADOR;JOÃO BATISTA ALVES DE LIMA;JOÃOZINHO CABELEIREIRO;PRD;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
RO;SÃO MIGUEL DO GUAPORÉ;44429;VEREADOR;MAGNALDO ROQUE DE QUEIROZ;TETE ROQUE;UNIÃO;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
RJ;SÃO GONÇALO;55022;VEREADOR;BEATRIZ PESSOA NEVES DA SILVA;BEATRIZ NEVES;PSD;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
MG;CAETÉ;10010;VEREADOR;WELLESLEY FERREIRA COELHO;LELEY FERREIRA ;REPUBLICANOS;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
RS;SÃO BORJA;25999;VEREADOR;AILSON DOS SANTOS CARVALHO;TEN CARVALHO;PRD;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
RS;PELOTAS;15555;VEREADOR;ANGELA ALVES LESSER;ANGELA DO ESQUENTA;MDB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
SE;ARACAJU;77291;VEREADOR;JEANE MICHELE SANTOS GOMES;MICHELE DO AUTISMO;SOLIDARIEDADE;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
SP;ITARIRI;15123;VEREADOR;CARLOS EDUARDO CORREA DE ANDRADE;CARLOS EDUARDO;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
AM;PAUINI;44444;VEREADOR;KEVIN CARLOS VILAÇA DE AMORIM;ENGENHEIRO KEVIN VILAÇA;UNIÃO;MASCULINO;SUPERIOR COMPLETO;PARDA
MG;ITAÚ DE MINAS;77107;VEREADOR;ELIANA MARIA DOMINGOS FERNANDES;ELIANA DO CONSELHO;SOLIDARIEDADE;FEMININO;SUPERIOR COMPLETO;BRANCA
PB;SOUSA;18;VICE-PREFEITO;YASMIN GONÇALVES DANTAS;YASMIN GONÇALVES;REDE;FEMININO;SUPERIOR INCOMPLETO;BRANCA
MG;GOVERNADOR VALADARES;25222;VEREADOR;LAURO CESAR SOARES CASSINI;LAURO CASSINI;PRD;MASCULINO;SUPERIOR INCOMPLETO;BRANCA
SP;COTIA;10000;VEREADOR;LINCOLN EMILIO PALUMBO FAGUNDES JUNIOR;LINCOLN JUNIOR;REPUBLICANOS;MASCULINO;ENSINO MÉDIO INCOMPLETO;BRANCA
SC;SÃO JOÃO BATISTA;22333;VEREADOR;ALUISIO BOOZ;ALUISIO BOOZ;PL;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
GO;JESÚPOLIS;22777;VEREADOR;FLÁVIO FERREIRA MAIA;FLÁVIO MAIA;PL;MASCULINO;SUPERIOR COMPLETO;BRANCA
MG;NOVA SERRANA;13026;VEREADOR;JEFFERSON ADRIANO GOMES E SILVA;JEFFERSON FURACÃO;PT;MASCULINO;SUPERIOR COMPLETO;BRANCA
SP;SÃO JOÃO DA BOA VISTA;77777;VEREADOR;CLEUZA BORDIN QUEIROZ DA SILVA;CLEUZA QUEIROZ;SOLIDARIEDADE;FEMININO;SUPERIOR COMPLETO;BRANCA
SP;AREIAS;10022;VEREADOR;CELIA MARIA MADEIRA COSTA;CÉLIA MADEIRA;REPUBLICANOS;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
AC;RIO BRANCO;22111;VEREADOR;SANDRAK PEREIRA DA SILVA;SANDRO TREME CAR;PL;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
PA;PACAJÁ;11115;VEREADOR;MOISES DE FRANÇA SOUZA;MOISES SOUZA;PP;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
SP;RIFAINA;55777;VEREADOR;CIRONE DA SILVA;CIRONE CISSA;PSD;FEMININO;ENSINO MÉDIO INCOMPLETO;BRANCA
SP;NOVA ALIANÇA;70007;VEREADOR;JOSÉ LEONCIO BATISTA CAMARGO;ZÉ LEÔNCIO;AVANTE;MASCULINO;SUPERIOR COMPLETO;BRANCA
AM;NOVO ARIPUANÃ;11555;VEREADOR;VALMIR DOVAL MARTINS;VALMIR DOVAL;PP;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
PR;GRANDES RIOS;15345;VEREADOR;MARIA FLORES CORREA;FLOR;MDB;FEMININO;SUPERIOR COMPLETO;BRANCA
MG;ITAÚNA;50420;VEREADOR;JULIA SOARES DE FREITAS TELES;JU SOARES;PSOL;FEMININO;SUPERIOR COMPLETO;BRANCA
CE;AQUIRAZ;27777;VEREADOR;ALEXSON MOREIRA LEMOS;ALEX DA VANUZIA;DC;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
SC;SÃO FRANCISCO DO SUL;25025;VEREADOR;TADEU BRANCO PEREIRA;TADEU BRANCO BIG;PRD;MASCULINO;SUPERIOR COMPLETO;BRANCA
PE;RECIFE;55222;VEREADOR;ELLINSON JOSE FERREIRA DE LIMA;ELLINSSON RODOVIÁRIO;PSD;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA
MS;AQUIDAUANA;45444;VEREADOR;CELIO FRANCELINO FIALHO;CACIQUE CELIO;PSDB;MASCULINO;SUPERIOR COMPLETO;INDÍGENA
MG;ALFENAS;27555;VEREADOR;GILMARA FRANCISCA DA SILVA;GILMARA DA CRECHE;DC;FEMININO;SUPERIOR COMPLETO;BRANCA
SP;TEODORO SAMPAIO;10000;VEREADOR;ALEXANDRE APARECIDO DE SOUZA;ALEXANDRE DE SOUZA;REPUBLICANOS;MASCULINO;SUPERIOR COMPLETO;PRETA
GO;EDEALINA;12222;VEREADOR;MILTON PINTO DE URZEDA;MILTON PINTO;PDT;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
RS;PELOTAS;40999;VEREADOR;SHEILA APARECIDA DE CAMPOS;SHEILA DA FARMACIA;PSB;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
SC;GARUVA;55055;VEREADOR;SHEYLA CRISTINA CHAVES;DRA. SHEYLA CHAVES;PSD;FEMININO;SUPERIOR COMPLETO;BRANCA
PR;IRATI;10100;VEREADOR;GENILTON ANTONIO RODRIGUES;GENILTON (ABENÇOADO);REPUBLICANOS;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
SP;JUNDIAÍ;36254;VEREADOR;ADILSON APARECIDO DE SÁ;ADILSON SÁ;AGIR;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
RJ;ANGRA DOS REIS;77515;VEREADOR;FABIO JOSE JERONIMO;FABÃO ENFERMEIRO DE PLANTÃO;SOLIDARIEDADE;MASCULINO;SUPERIOR COMPLETO;BRANCA
RS;MARIANA PIMENTEL;40444;VEREADOR;LUCAS DARSKI BATTOCHIA;LUCÃO;PSB;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
SP;PEDRO DE TOLEDO;55777;VEREADOR;ANGELA DA CONCEIÇÃO BEZERRA;ANGELA APOLONIO;PSD;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
MG;URUCUIA;33133;VEREADOR;VERA LUCIA DOS SANTOS GANDRA;VERA DA SAÚDE;MOBILIZA;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
MG;MARIANA;18021;VEREADOR;ANGELA MARIA DO CARMO COELHO;ANGELA MARIA;REDE;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
SC;LAGUNA;55330;VEREADOR;ALZIRA DA SILVA MACHADO MARTINS;PROFESSORA ALZIRA;PSD;FEMININO;SUPERIOR COMPLETO;BRANCA
MG;NOVO ORIENTE DE MINAS;40666;VEREADOR;ABRAAO ALVES DA SILVA;ABRAÃO DO AÇOUGUE;PSB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
SP;CORONEL MACEDO;44250;VEREADOR;JANETE DE ALMEIDA;JANETE DO AVON;UNIÃO;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;PRETA
MG;CARBONITA;15555;VEREADOR;VERODIANE APARECIDA SANTOS;VERÔ DA POP;MDB;FEMININO;ENSINO MÉDIO COMPLETO;PRETA
PE;SÃO JOAQUIM DO MONTE;45555;VEREADOR;RICARDO JEFFERSON DOS SANTOS;RICARDO JEFFERSON;PSDB;MASCULINO;SUPERIOR COMPLETO;PARDA
PA;TRAIRÃO;25131;VEREADOR;MARINILDO DE SOUZA ROBERTINO;MARINILDO DO PIMENTAL;PRD;MASCULINO;LÊ E ESCREVE;INDÍGENA
